"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Juan Soto","Nationals","196","20.9%","14.3%","1.46",".351",".490",".695","1.185",".344","4.0",".363","-1.5","0.9","0.1","51","26.1",".478","200","20123"
"Freddie Freeman","Braves","262","17.2%","14.1%","1.22",".341",".462",".640","1.102",".299","4.5",".366","-0.6","0.1","0.2","63","30.1",".456","187","5361"
"Marcell Ozuna","Braves","267","14.2%","22.5%","0.63",".338",".431",".636","1.067",".298","0.8",".391","-0.6","0.7","-0.3","61","27.9",".444","179","10324"
"DJ LeMahieu","Yankees","216","8.3%","9.7%","0.86",".364",".421",".590","1.011",".226","5.8",".370","0.4","-0.1","0.4","47","19.8",".429","177","9874"
"Jose Ramirez","Indians","254","12.2%","16.9%","0.72",".292",".386",".607",".993",".315","5.8",".294","0.2","1.2","0.5","52","20.3",".415","163","13510"
"Ronald Acuna Jr.","Braves","202","18.8%","29.7%","0.63",".250",".406",".581",".987",".331","5.9",".302","0.9","0.3","1.0","41","15.9",".413","159","18401"
"Trea Turner","Nationals","259","8.5%","13.9%","0.61",".335",".394",".588",".982",".253","7.3",".353","2.8","-0.8","0.4","53","20.3",".413","157","16252"
"Dominic Smith","Mets","199","7.0%","22.6%","0.31",".316",".377",".616",".993",".299","2.5",".368","-0.1","0.8","-0.1","40","15.5",".412","165","15653"
"Nelson Cruz","Twins","214","11.7%","27.1%","0.43",".303",".397",".595",".992",".292","1.2",".360","0.4","-0.9","-0.2","43","16.6",".411","164","2434"
"Jose Abreu","White Sox","262","6.9%","22.5%","0.31",".317",".370",".617",".987",".300","1.5",".350","0.7","-1.5","-0.2","53","20.2",".411","167","15676"
"Mike Trout","Angels","241","14.5%","23.2%","0.63",".281",".390",".603",".993",".322","4.3",".300","0.3","1.4","-0.4","48","17.7",".407","164","10155"
"Mike Yastrzemski","Giants","225","13.3%","24.4%","0.55",".297",".400",".568",".968",".271","5.8",".370","0.1","0.9","-0.2","45","16.5",".407","160","14854"
"Michael Conforto","Mets","233","10.3%","24.5%","0.42",".322",".412",".515",".927",".193","3.2",".412","0.8","-0.1","-0.9","45","15.9",".401","157","16376"
"Bryce Harper","Phillies","244","20.1%","17.6%","1.14",".268",".420",".542",".962",".274","6.0",".279","-1.4","0.3","0.5","47","16.5",".400","151","11579"
"Wil Myers","Padres","218","8.3%","25.7%","0.32",".288",".353",".606",".959",".318","4.8",".331","0.9","0.7","-0.2","42","14.7",".400","154","10047"
"Anthony Rendon","Angels","232","16.4%","13.4%","1.23",".286",".418",".497",".915",".212","2.0",".302","1.1","-0.9","-0.2","44","14.8",".395","156","12861"
"Corey Seager","Dodgers","232","7.3%","15.9%","0.46",".307",".358",".585",".943",".278","3.9",".309","-1.0","-0.8","0.0","44","14.5",".394","151","13624"
"Luke Voit","Yankees","234","7.3%","23.1%","0.31",".277",".338",".610",".948",".333","1.7",".268","0.1","0.2","-0.2","44","14.5",".393","152","14811"
"Fernando Tatis Jr.","Padres","257","10.5%","23.7%","0.44",".277",".366",".571",".937",".295","7.3",".306","1.0","-0.3","0.7","48","15.7",".392","149","19709"
"Manny Machado","Padres","254","10.2%","14.6%","0.70",".304",".370",".580",".950",".277","5.0",".297","-0.2","-1.2","-0.3","47","15.4",".391","148","11493"
"Mookie Betts","Dodgers","246","9.8%","15.4%","0.63",".292",".366",".562",".927",".269","6.4",".289","2.0","0.4","0.9","45","14.5",".390","149","13611"
"Paul Goldschmidt","Cardinals","231","16.0%","18.6%","0.86",".304",".417",".466",".883",".162","2.5",".364","0.8","0.3","0.0","42","13.1",".387","146","9218"
"Brandon Nimmo","Mets","225","14.7%","19.1%","0.77",".280",".404",".484",".888",".204","4.4",".326","0.3","0.6","-0.9","41","12.7",".387","148","12927"
"Brandon Lowe","Rays","224","11.2%","25.9%","0.43",".269",".362",".554",".916",".285","6.1",".309","2.1","0.4","0.4","40","12.3",".385","150","18882"
